1,Boston,Celtics
2,Brooklyn,Nets
3,New York,Knicks
4,Philadelphia,76ers
5,Toronto,Raptors
6,Chicago,Bulls
7,Cleveland,Cavaliers
8,Detroit,Pistons
9,Indiana,Pacers
10,Milwaukee,Bucks
11,Atlanta,Hawks
12,Charlotte,Bobcats
13,Miami,Heat
14,Orlando,Magic
15,Washington,Wizards
16,Dallas,Mavericks
17,Houston,Rockets
18,Memphis,Grizzlies
19,New Orleans,Pelicans
20,San Antonio,Spurs
21,Denver,Nuggets
22,Minnesota,Timberwolves
23,Portland Trail,Blazers
24,Oklahoma City,Thunder
25,Utah,Jazz
26,Golden State,Warriors
27,Los Angeles,Clippers
28,Los Angeles,Lakers
29,Phoenix,Suns
30,Sacramento,Kings
